AccerlerometerX,AccerlerometerY,AccerlerometerZ,UtcTicks
-0.1964,-0.9805,-0.0091,635740559774013333
-0.1964,-0.9805,-0.0091,635740559774210085
-0.1964,-0.9805,-0.0091,635740559774417601
-0.1964,-0.9805,-0.0091,635740559774617421
-0.1964,-0.9805,-0.0091,635740559774811671
-0.1964,-0.9805,-0.0091,635740559775015761
-0.1964,-0.9805,-0.0091,635740559775210027
-0.1964,-0.9805,-0.0091,635740559775416142
-0.1964,-0.9805,-0.0091,635740559775610246
-0.1964,-0.9805,-0.0091,635740559775814523
-0.1964,-0.9805,-0.0091,635740559776008765
-0.1964,-0.9805,-0.0091,635740559776213012
-0.1716,-0.9852,-0.0007,635740559776403430
-0.1716,-0.9852,-0.0007,635740559776607707
-0.1216,-0.9898,0.0748,635740559776811844
-0.1047,-0.9876,0.1166,635740559777013121
-0.1047,-0.9876,0.1166,635740559777207191
-0.0963,-0.9852,0.1416,635740559777411239
-0.0961,-0.9813,0.1665,635740559777615497
-0.0961,-0.9813,0.1665,635740559777805646
-0.0793,-0.9767,0.1996,635740559778009936
-0.0707,-0.9680,0.2407,635740559778214205
-0.0707,-0.9680,0.2407,635740559778408539
-0.0458,-0.9674,0.2489,635740559778612751
-0.0208,-0.9617,0.2734,635740559778807329
-0.0208,-0.9617,0.2734,635740559779011917
0.0207,-0.9569,0.2895,635740559779216047
0.0455,-0.9485,0.3135,635740559779410275
0.0455,-0.9485,0.3135,635740559779614368
0.0784,-0.9437,0.3212,635740559779808965
0.0784,-0.9437,0.3212,635740559780013217
0.1437,-0.9279,0.3441,635740559780209495
0.1518,-0.9266,0.3440,635740559780413780
0.1518,-0.9266,0.3440,635740559780613060
0.1924,-0.9194,0.3431,635740559780803848
0.1924,-0.9194,0.3431,635740559781008029
0.2639,-0.8962,0.3566,635740559781208105
0.3188,-0.8791,0.3544,635740559781415530
0.3420,-0.8707,0.3534,635740559781607454
0.3420,-0.8707,0.3534,635740559781811599
0.3577,-0.8678,0.3450,635740559782018388
0.3577,-0.8678,0.3450,635740559782212649
0.3817,-0.8668,0.3208,635740559782411030
0.3828,-0.8746,0.2975,635740559782611937
0.3828,-0.8746,0.2975,635740559782815961
0.3920,-0.8831,0.2580,635740559783010126
0.3939,-0.8966,0.2023,635740559783214214
0.3939,-0.8966,0.2023,635740559783408307
0.3949,-0.9043,0.1622,635740559783610961
0.3956,-0.9092,0.1298,635740559783815225
0.3956,-0.9092,0.1298,635740559784010047
0.3881,-0.9146,0.1137,635740559784214227
0.3807,-0.9204,0.0894,635740559784438998
0.3807,-0.9204,0.0894,635740559784617341
0.3652,-0.9273,0.0814,635740559784811646
0.3652,-0.9273,0.0814,635740559785015638
0.3576,-0.9316,0.0651,635740559785205789
0.3340,-0.9409,0.0570,635740559785410898
0.3340,-0.9409,0.0570,635740559785615030
0.3101,-0.9490,0.0572,635740559785809370
0.2941,-0.9549,0.0407,635740559786013523
0.2941,-0.9549,0.0407,635740559786207657
0.2941,-0.9549,0.0407,635740559786411801
0.2941,-0.9549,0.0407,635740559786616000
0.2941,-0.9549,0.0407,635740559786810126
0.2941,-0.9549,0.0407,635740559787014154
0.2941,-0.9549,0.0407,635740559787213674
0.2941,-0.9549,0.0407,635740559787411747
0.1962,-0.9777,0.0745,635740559787615766
0.1962,-0.9777,0.0745,635740559787809826
0.1130,-0.9857,0.1249,635740559788016166
0.0377,-0.9838,0.1750,635740559788210641
0.0377,-0.9838,0.1750,635740559788415993
-0.0042,-0.9815,0.1916,635740559788610071
-0.0292,-0.9794,0.1998,635740559788814139
-0.0292,-0.9794,0.1998,635740559789009215
-0.0292,-0.9794,0.1998,635740559789212164
-0.0292,-0.9794,0.1998,635740559789416391
-0.0626,-0.9779,0.1997,635740559789610543
-0.1043,-0.9743,0.1995,635740559789815085
-0.1043,-0.9743,0.1995,635740559790009174
-0.1043,-0.9743,0.1995,635740559790213439
-0.1126,-0.9751,0.1912,635740559790413368
-0.1126,-0.9751,0.1912,635740559790607636
-0.1379,-0.9803,0.1414,635740559790807937
-0.1548,-0.9844,0.0830,635740559791012086
-0.1548,-0.9844,0.0830,635740559791216274
-0.1550,-0.9879,0.0077,635740559791410580
-0.1550,-0.9878,-0.0175,635740559791614745
-0.1550,-0.9878,-0.0175,635740559791804794
-0.1550,-0.9870,-0.0426,635740559792009078
-0.1550,-0.9870,-0.0426,635740559792213328
-0.1466,-0.9869,-0.0677,635740559792407487
-0.0797,-0.9908,-0.1097,635740559792615670
-0.0797,-0.9908,-0.1097,635740559792809914
-0.0796,-0.9898,-0.1181,635740559793014098
